"","Name","IOC","DOB","Height","Weight","Turn.Pro","Prz","Rk","CH","Date","Titles","W","L","country_type","Region","CH_age","Background","sex"
"1","Ashleigh BARTY","Australia",1996-04-24,166,62,0,16515667,1,1,2019-06-24,6,240,90,"developed","OCEANIA",23,"West","Female"
"2","Karolina PLISKOVA","Czech Republic",1992-03-21,186,72,2009,19512517,2,1,2017-07-17,15,527,289,"developed","EUROPE",25,"West","Female"
"3","Naomi OSAKA","Japan",1997-10-16,180,69,0,14417479,3,1,2019-01-28,5,217,130,"developed","ASIA",21,"West","Female"
"4","Simona HALEP","Romania",1991-09-27,168,60,2006,35108020,4,1,2017-10-09,19,493,214,"developed","EUROPE",26,"West","Female"
"5","Bianca ANDREESCU","Canada",2000-06-16,170,0,2017,6720038,5,4,2019-10-21,3,137,50,"developed","NORTHERN_AMERICA",19,"West","Female"
"6","Elina SVITOLINA","Ukraine",1994-09-12,174,60,2010,19234960,6,3,2017-09-11,13,368,191,"developing","EUROPE",23,"West","Female"
"7","Petra KVITOVA","Czech Republic",1990-03-08,182,70,2006,31066637,7,2,2011-10-31,27,527,233,"developed","EUROPE",21,"West","Female"
"8","Belinda BENCIC","Switzerland",1997-03-10,175,63,0,7846208,8,7,2016-02-22,4,266,144,"developed","EUROPE",18,"West","Female"
"9","Kiki BERTENS","Netherlands",1991-12-10,182,74,2009,10730150,9,4,2019-05-13,9,426,251,"developed","EUROPE",27,"West","Female"
"10","Serena WILLIAMS","United States",1981-09-26,175,70,1995,92543816,10,1,2002-07-08,72,826,142,"developed","NORTHERN_AMERICA",20,"West","Female"
"11","Aryna SABALENKA","Belarus",1998-05-05,182,0,0,5564626,11,9,2019-02-04,4,198,110,"developing","EUROPE",20,"East","Female"
"12","Johanna KONTA","United Kingdom",1991-05-17,180,70,0,9354364,12,4,2017-07-17,3,377,226,"developed","EUROPE",26,"West","Female"
"13","Madison KEYS","United States",1995-02-17,178,66,2009,12091266,13,7,2016-10-10,5,278,152,"developed","NORTHERN_AMERICA",21,"West","Female"
"14","Sofia KENIN","United States",1998-11-14,0,0,0,2918731,14,12,2019-10-21,3,190,111,"developed","NORTHERN_AMERICA",20,"West","Female"
"15","Petra MARTIC","Croatia",1991-01-19,181,63,2008,4826386,15,15,2019-10-21,1,340,233,"developed","EUROPE",28,"West","Female"
"16","Marketa VONDROUSOVA","Czech Republic",1999-06-28,172,59,0,3055580,16,14,2019-07-01,1,157,56,"developed","EUROPE",20,"West","Female"
"17","Elise MERTENS","Belgium",1995-11-17,179,67,2013,5956645,17,12,2018-11-26,5,289,159,"developed","EUROPE",23,"West","Female"
"18","Alison RISKE","United States",1990-07-03,175,66,0,4552562,18,18,2019-11-04,2,367,287,"developed","NORTHERN_AMERICA",29,"West","Female"
"19","Donna VEKIC","Croatia",1996-06-28,179,64,2012,4047396,19,19,2019-11-04,2,260,191,"developed","EUROPE",23,"East","Female"
"20","Angelique KERBER","Germany",1988-01-18,173,68,2003,29294657,20,1,2016-09-12,12,623,330,"developed","EUROPE",28,"West","Female"
"21","Karolina MUCHOVA","Czech Republic",1996-08-21,180,0,2014,1415391,21,21,2019-11-04,1,204,95,"developed","EUROPE",23,"West","Female"
"22","Dayana YASTREMSKA","Ukraine",2000-05-15,0,0,2015,1627576,22,22,2019-11-04,3,131,72,"developing","EUROPE",19,"West","Female"
"23","Maria SAKKARI","Greece",1995-07-25,172,62,2015,2756084,23,22,2019-10-21,1,307,209,"developed","EUROPE",24,"West","Female"
"24","Amanda ANISIMOVA","United States",2001-08-31,180,0,0,1560150,24,21,2019-10-21,1,75,38,"developed","NORTHERN_AMERICA",18,"West","Female"
"25","Sloane STEPHENS","United States",1993-03-20,170,61,0,15181022,25,3,2018-07-16,6,293,196,"developed","NORTHERN_AMERICA",25,"West","Female"
"26","Anett KONTAVEIT","Estonia",1995-12-24,174,65,0,3998761,26,14,2019-04-01,1,288,152,"developed","EUROPE",23,"West","Female"
"27","Anastasija SEVASTOVA","Latvia",1990-04-13,169,65,2006,7279375,27,11,2018-10-15,4,416,232,"developed","EUROPE",28,"West","Female"
"28","Julia GOERGES","Germany",1988-11-02,180,70,2005,9634708,28,9,2018-08-20,7,472,330,"developed","EUROPE",29,"West","Female"
"29","WANG Qiang","China",1992-01-14,172,60,0,4350109,29,12,2019-09-09,2,390,249,"developing","ASIA",27,"West","Female"
"30","Anastasia PAVLYUCHENKOVA","Russia",1991-07-03,177,72,2005,9792819,30,13,2011-07-04,12,419,285,"developing","EUROPE",20,"West","Female"
"31","Danielle COLLINS","United States",1993-12-13,178,64,0,2379531,31,23,2019-01-28,0,133,86,"developed","NORTHERN_AMERICA",25,"West","Female"
"33","Barbora STRYCOVA","Czech Republic",1986-03-28,164,60,2003,11333446,33,16,2017-01-16,2,559,401,"developed","EUROPE",30,"West","Female"
"34","Yulia PUTINTSEVA","Kazakhstan",1995-01-07,163,59,0,3958486,34,27,2017-02-06,1,279,221,"developing","ASIA",22,"West","Female"
"35","Ekaterina ALEXANDROVA","Russia",1994-11-15,0,66,0,1651320,35,35,2019-10-07,0,274,164,"developing","EUROPE",24,"West","Female"
"36","Garbine MUGURUZA","Spain",1993-10-08,182,73,2011,19217729,36,1,2017-09-11,7,372,193,"developed","EUROPE",23,"West","Female"
"37","Elena RYBAKINA","Kazakhstan",1999-06-17,0,0,0,444744,37,37,2019-10-21,1,140,63,"developing","ASIA",20,"West","Female"
"38","Caroline WOZNIACKI","Denmark",1990-07-11,177,63,2005,35218415,38,1,2010-10-11,30,630,262,"developed","EUROPE",20,"West","Female"
"39","ZHENG Saisai","China",1994-02-05,170,62,0,3560948,39,36,2019-10-14,1,310,211,"developing","ASIA",25,"West","Female"
"40","Kristina MLADENOVIC","France",1993-05-14,184,60,0,10984030,40,10,2017-10-23,1,325,283,"developed","EUROPE",24,"West","Female"
"41","Veronika KUDERMETOVA","Russia",1997-04-24,0,65,0,1195305,41,41,2019-10-21,0,219,145,"developing","EUROPE",22,"West","Female"
"42","Magda LINETTE","Poland",1992-02-12,171,59,2009,2364858,42,41,2019-09-30,1,354,262,"developed","EUROPE",27,"West","Female"
"43","Rebecca PETERSON","Sweden",1995-08-06,173,0,0,1462535,43,43,2019-10-21,2,257,139,"developed","EUROPE",24,"West","Female"
"44","Jelena OSTAPENKO","Latvia",1997-06-08,177,68,2012,8658295,44,5,2018-03-19,3,233,141,"developed","EUROPE",20,"West","Female"
"45","Caroline GARCIA","France",1993-10-16,177,61,0,10199361,45,4,2018-09-10,7,328,254,"developed","EUROPE",24,"West","Female"
"46","ZHANG Shuai","China",1989-01-21,177,65,2006,6232083,46,23,2016-11-14,2,466,323,"developing","ASIA",27,"West","Female"
"47","Alison VAN UYTVANCK","Belgium",1994-03-26,173,63,0,2665449,47,37,2018-08-13,4,303,204,"developed","EUROPE",24,"East","Female"
"48","WANG Yafan","China",1994-04-30,170,0,0,1842545,48,47,2019-10-07,1,237,161,"developing","ASIA",25,"West","Female"
"49","Polona HERCOG","Slovenia",1991-01-20,185,70,2006,3577766,49,35,2011-09-12,3,409,273,"developed","EUROPE",20,"West","Female"
"50","Victoria AZARENKA","Belarus",1989-07-31,183,70,2003,30355505,50,1,2012-01-30,20,506,198,"developing","EUROPE",22,"West","Female"
"51","Ajla TOMLJANOVIC","Australia",1993-05-07,180,67,2009,2866591,51,39,2019-04-01,0,299,216,"developed","OCEANIA",25,"West","Female"
"52","Viktoria KUZMOVA","Slovakia",1998-05-11,180,0,2014,1373297,52,43,2019-03-04,0,245,118,"developed","EUROPE",20,"West","Female"
"53","Venus WILLIAMS","United States",1980-06-17,185,72,1994,41736537,53,1,2002-02-25,49,811,248,"developed","NORTHERN_AMERICA",21,"West","Female"
"54","Svetlana KUZNETSOVA","Russia",1985-06-27,174,73,2000,25135357,54,2,2007-09-10,18,658,332,"developing","EUROPE",22,"West","Female"
"55","Carla SUAREZ NAVARRO","Spain",1988-09-03,162,62,2003,11580886,55,6,2016-02-29,2,509,336,"developed","EUROPE",27,"East","Female"
"56","Jennifer BRADY","United States",1995-04-12,178,68,0,2007210,56,56,2019-10-07,0,200,145,"developed","NORTHERN_AMERICA",24,"West","Female"
"57","Marie BOUZKOVA","Czech Republic",1998-07-21,180,61,0,688008,57,53,2019-08-12,0,230,118,"developed","EUROPE",21,"West","Female"
"58","Katerina SINIAKOVA","Czech Republic",1996-05-10,174,69,0,5649923,58,31,2018-10-22,2,240,165,"developed","EUROPE",22,"West","Female"
"59","Anna BLINKOVA","Russia",1998-09-10,179,70,2015,1119717,59,59,2019-10-21,0,168,98,"developing","EUROPE",21,"West","Female"
"60","Alize CORNET","France",1990-01-22,173,63,2006,7189023,60,11,2009-02-16,6,439,354,"developed","EUROPE",19,"West","Female"
"61","Iga SWIATEK","Poland",2001-05-31,0,0,0,675189,61,49,2019-08-19,0,96,26,"developed","EUROPE",18,"West","Female"
"62","Lauren DAVIS","United States",1993-10-09,157,55,2011,2886026,62,26,2017-05-22,1,286,198,"developed","NORTHERN_AMERICA",23,"West","Female"
"63","Fiona FERRO","France",1997-03-12,170,56,2012,892026,63,61,2019-09-09,1,198,163,"developed","EUROPE",22,"East","Female"
"64","Tamara ZIDANSEK","Slovenia",1997-12-26,168,0,0,794119,64,56,2019-07-22,0,219,83,"developed","EUROPE",21,"West","Female"
"65","Bernarda PERA","United States",1994-12-03,0,0,0,1173329,65,63,2019-07-29,0,282,154,"developed","NORTHERN_AMERICA",24,"West","Female"
"66","Kristyna PLISKOVA","Czech Republic",1992-03-21,184,73,2009,2713974,66,35,2017-07-31,1,387,319,"developed","EUROPE",25,"West","Female"
"67","Aliaksandra SASNOVICH","Belarus",1994-03-22,174,60,0,2863266,67,30,2018-09-10,0,279,183,"developing","EUROPE",24,"West","Female"
"68","Cori GAUFF","United States",2004-03-13,0,0,0,552012,68,68,2019-11-04,1,38,19,"developed","NORTHERN_AMERICA",15,"West","Female"
"69","Daria KASATKINA","Russia",1997-05-07,170,62,2014,6080452,69,10,2018-10-22,2,208,114,"developing","EUROPE",21,"West","Female"
"70","Lesia TSURENKO","Ukraine",1989-05-30,174,67,2007,4488634,70,23,2019-02-18,4,392,267,"developing","EUROPE",29,"West","Female"
"71","Jil TEICHMANN","Switzerland",1997-07-15,170,60,0,599910,71,54,2019-07-29,2,191,128,"developed","EUROPE",22,"West","Female"
"72","Sorana CIRSTEA","Romania",1990-04-07,176,59,2006,5446467,72,21,2013-08-12,1,436,329,"developed","EUROPE",23,"East","Female"
"73","Laura SIEGEMUND","Germany",1988-03-04,168,62,2006,2422991,73,27,2016-08-29,2,472,313,"developed","EUROPE",28,"West","Female"
"74","Misaki DOI","Japan",1991-04-29,159,55,0,2690954,74,30,2016-10-10,1,340,296,"developed","ASIA",25,"West","Female"
"75","Agnieszka RADWANSKA","Poland",1989-03-06,173,56,2005,27683807,74,2,2012-07-09,20,594,269,"developed","EUROPE",23,"West","Female"
"76","PENG Shuai","China",1986-01-08,177,61,0,9505600,75,14,2011-08-22,2,488,317,"developing","ASIA",25,"West","Female"
"77","Jessica PEGULA","United States",1994-02-24,170,70,2012,908688,76,55,2019-08-05,1,238,165,"developed","NORTHERN_AMERICA",25,"West","Female"
"79","Zarina DIYAS","Kazakhstan",1993-10-18,172,64,0,2757480,78,31,2015-01-12,1,306,209,"developing","ASIA",21,"West","Female"
"80","Andrea PETKOVIC","Germany",1987-09-09,180,69,2006,7765795,79,9,2011-10-10,6,482,327,"developed","EUROPE",24,"West","Female"
"82","Viktorija GOLUBIC","Switzerland",1992-10-16,169,56,0,1578540,81,51,2017-04-03,1,316,211,"developed","EUROPE",24,"West","Female"
"83","Sara SORRIBES TORMO","Spain",1996-10-08,176,69,0,1432418,82,64,2019-06-10,0,275,181,"developed","EUROPE",22,"West","Female"
"84","ZHU Lin","China",1994-01-28,173,64,2012,1052896,83,83,2019-11-04,0,304,200,"developing","ASIA",25,"West","Female"
"85","Taylor TOWNSEND","United States",1996-04-16,170,0,2012,2035507,84,61,2018-07-16,0,203,123,"developed","NORTHERN_AMERICA",22,"West","Female"
"86","Christina MCHALE","United States",1992-05-11,170,62,2010,4094008,85,24,2012-08-20,1,348,293,"developed","NORTHERN_AMERICA",20,"West","Female"
"87","Nina STOJANOVIC","Serbia",1996-07-30,176,0,0,420471,86,86,2019-11-04,0,197,119,"developing","EUROPE",23,"West","Female"
"88","Margarita GASPARYAN","Russia",1994-09-01,183,73,0,1488202,87,41,2016-02-15,2,205,122,"developing","EUROPE",21,"West","Female"
"90","Kateryna KOZLOVA","Ukraine",1994-02-20,175,62,2009,1555224,89,62,2018-02-19,0,309,206,"developing","EUROPE",24,"West","Female"
"91","Tatjana MARIA","Germany",1987-08-08,172,62,0,3060115,90,46,2017-11-06,1,532,411,"developed","EUROPE",30,"East","Female"
"92","Kristie AHN","United States",1992-06-15,0,0,0,856141,91,87,2019-09-30,0,221,153,"developed","NORTHERN_AMERICA",27,"West","Female"
"93","Heather WATSON","United Kingdom",1992-05-19,170,63,2010,3601515,92,38,2015-01-19,3,302,240,"developed","EUROPE",22,"East","Female"
"94","Anastasia POTAPOVA","Russia",2001-03-30,175,0,0,725952,93,64,2019-07-22,0,91,58,"developing","EUROPE",18,"West","Female"
"95","Madison BRENGLE","United States",1990-04-03,168,60,0,2833883,94,35,2015-05-04,0,473,354,"developed","NORTHERN_AMERICA",25,"West","Female"
"96","Kirsten FLIPKENS","Belgium",1986-01-10,165,55,2003,5134797,95,13,2013-08-05,1,508,372,"developed","EUROPE",27,"West","Female"
"97","Samantha STOSUR","Australia",1984-03-30,175,68,1999,18930475,96,4,2011-02-21,9,604,440,"developed","OCEANIA",26,"East","Female"
