"","Height","Weight","CH","Region","CH_age","Background","sex","Body_Ratio"
"1",166,62,1,"OCEANIA",23,"West","Female",0.373493975903614
"2",186,72,1,"EUROPE",25,"West","Female",0.387096774193548
"3",180,69,1,"ASIA",21,"East","Female",0.383333333333333
"4",168,60,1,"EUROPE",26,"West","Female",0.357142857142857
"6",174,60,3,"EUROPE",23,"West","Female",0.344827586206897
"7",182,70,2,"EUROPE",21,"West","Female",0.384615384615385
"8",175,63,7,"EUROPE",18,"West","Female",0.36
"9",182,74,4,"EUROPE",27,"West","Female",0.406593406593407
"10",175,70,1,"NORTHERN_AMERICA",20,"West","Female",0.4
"12",180,70,4,"EUROPE",26,"West","Female",0.388888888888889
"13",178,66,7,"NORTHERN_AMERICA",21,"West","Female",0.370786516853933
"15",181,63,15,"EUROPE",28,"West","Female",0.348066298342541
"16",172,59,14,"EUROPE",20,"West","Female",0.343023255813953
"17",179,67,12,"EUROPE",23,"West","Female",0.374301675977654
"18",175,66,18,"NORTHERN_AMERICA",29,"West","Female",0.377142857142857
"19",179,64,19,"EUROPE",23,"West","Female",0.357541899441341
"20",173,68,1,"EUROPE",28,"West","Female",0.393063583815029
"23",172,62,22,"EUROPE",24,"West","Female",0.36046511627907
"25",170,61,3,"NORTHERN_AMERICA",25,"West","Female",0.358823529411765
"26",174,65,14,"EUROPE",23,"West","Female",0.373563218390805
"27",169,65,11,"EUROPE",28,"West","Female",0.384615384615385
"28",180,70,9,"EUROPE",29,"West","Female",0.388888888888889
"29",172,60,12,"ASIA",27,"East","Female",0.348837209302326
"30",177,72,13,"EUROPE",20,"West","Female",0.406779661016949
"31",178,64,23,"NORTHERN_AMERICA",25,"West","Female",0.359550561797753
"33",164,60,16,"EUROPE",30,"West","Female",0.365853658536585
"34",163,59,27,"ASIA",22,"East","Female",0.361963190184049
"36",182,73,1,"EUROPE",23,"West","Female",0.401098901098901
"38",177,63,1,"EUROPE",20,"West","Female",0.355932203389831
"39",170,62,36,"ASIA",25,"East","Female",0.364705882352941
"40",184,60,10,"EUROPE",24,"West","Female",0.326086956521739
"42",171,59,41,"EUROPE",27,"West","Female",0.345029239766082
"44",177,68,5,"EUROPE",20,"West","Female",0.384180790960452
"45",177,61,4,"EUROPE",24,"West","Female",0.344632768361582
"46",177,65,23,"ASIA",27,"East","Female",0.367231638418079
"47",173,63,37,"EUROPE",24,"West","Female",0.364161849710983
"49",185,70,35,"EUROPE",20,"West","Female",0.378378378378378
"50",183,70,1,"EUROPE",22,"West","Female",0.382513661202186
"51",180,67,39,"OCEANIA",25,"West","Female",0.372222222222222
"53",185,72,1,"NORTHERN_AMERICA",21,"West","Female",0.389189189189189
"54",174,73,2,"EUROPE",22,"West","Female",0.419540229885057
"55",162,62,6,"EUROPE",27,"West","Female",0.382716049382716
"56",178,68,56,"NORTHERN_AMERICA",24,"West","Female",0.382022471910112
"57",180,61,53,"EUROPE",21,"West","Female",0.338888888888889
"58",174,69,31,"EUROPE",22,"West","Female",0.396551724137931
"59",179,70,59,"EUROPE",21,"West","Female",0.391061452513966
"60",173,63,11,"EUROPE",19,"West","Female",0.364161849710983
"62",157,55,26,"NORTHERN_AMERICA",23,"West","Female",0.35031847133758
"63",170,56,61,"EUROPE",22,"West","Female",0.329411764705882
"66",184,73,35,"EUROPE",25,"West","Female",0.396739130434783
"67",174,60,30,"EUROPE",24,"West","Female",0.344827586206897
"69",170,62,10,"EUROPE",21,"West","Female",0.364705882352941
"70",174,67,23,"EUROPE",29,"West","Female",0.385057471264368
"71",170,60,54,"EUROPE",22,"West","Female",0.352941176470588
"72",176,59,21,"EUROPE",23,"West","Female",0.335227272727273
"73",168,62,27,"EUROPE",28,"West","Female",0.369047619047619
"74",159,55,30,"ASIA",25,"East","Female",0.345911949685535
"75",173,56,2,"EUROPE",23,"West","Female",0.323699421965318
"76",177,61,14,"ASIA",25,"East","Female",0.344632768361582
"77",170,70,55,"NORTHERN_AMERICA",25,"West","Female",0.411764705882353
"79",172,64,31,"ASIA",21,"East","Female",0.372093023255814
"80",180,69,9,"EUROPE",24,"West","Female",0.383333333333333
"82",169,56,51,"EUROPE",24,"West","Female",0.331360946745562
"83",176,69,64,"EUROPE",22,"West","Female",0.392045454545455
"84",173,64,83,"ASIA",25,"East","Female",0.369942196531792
"86",170,62,24,"NORTHERN_AMERICA",20,"West","Female",0.364705882352941
"88",183,73,41,"EUROPE",21,"West","Female",0.398907103825137
"90",175,62,62,"EUROPE",24,"West","Female",0.354285714285714
"91",172,62,46,"EUROPE",30,"West","Female",0.36046511627907
"93",170,63,38,"EUROPE",22,"West","Female",0.370588235294118
"95",168,60,35,"NORTHERN_AMERICA",25,"West","Female",0.357142857142857
"96",165,55,13,"EUROPE",27,"West","Female",0.333333333333333
"97",175,68,4,"OCEANIA",26,"West","Female",0.388571428571429
"99",168,54,26,"EUROPE",26,"West","Female",0.321428571428571
"100",181,67,22,"EUROPE",26,"West","Female",0.370165745856354
"102",181,74,15,"EUROPE",27,"West","Female",0.408839779005525
"103",163,58,56,"ASIA",21,"East","Female",0.355828220858896
"104",180,65,61,"EUROPE",21,"West","Female",0.361111111111111
"105",179,68,25,"EUROPE",23,"West","Female",0.379888268156425
