"","CH","sex","Background","variable","value"
"1",1,"Female","West","Height",166
"2",1,"Female","West","Height",186
"3",1,"Female","East","Height",180
"4",1,"Female","West","Height",168
"5",3,"Female","West","Height",174
"6",2,"Female","West","Height",182
"7",7,"Female","West","Height",175
"8",4,"Female","West","Height",182
"9",1,"Female","West","Height",175
"10",4,"Female","West","Height",180
"11",7,"Female","West","Height",178
"12",15,"Female","West","Height",181
"13",14,"Female","West","Height",172
"14",12,"Female","West","Height",179
"15",18,"Female","West","Height",175
"16",19,"Female","West","Height",179
"17",1,"Female","West","Height",173
"18",22,"Female","West","Height",172
"19",3,"Female","West","Height",170
"20",14,"Female","West","Height",174
"21",11,"Female","West","Height",169
"22",9,"Female","West","Height",180
"23",12,"Female","East","Height",172
"24",13,"Female","West","Height",177
"25",23,"Female","West","Height",178
"26",16,"Female","West","Height",164
"27",27,"Female","East","Height",163
"28",1,"Female","West","Height",182
"29",1,"Female","West","Height",177
"30",36,"Female","East","Height",170
"31",10,"Female","West","Height",184
"32",41,"Female","West","Height",171
"33",5,"Female","West","Height",177
"34",4,"Female","West","Height",177
"35",23,"Female","East","Height",177
"36",37,"Female","West","Height",173
"37",35,"Female","West","Height",185
"38",1,"Female","West","Height",183
"39",39,"Female","West","Height",180
"40",1,"Female","West","Height",185
"41",2,"Female","West","Height",174
"42",6,"Female","West","Height",162
"43",56,"Female","West","Height",178
"44",53,"Female","West","Height",180
"45",31,"Female","West","Height",174
"46",59,"Female","West","Height",179
"47",11,"Female","West","Height",173
"48",26,"Female","West","Height",157
"49",61,"Female","West","Height",170
"50",35,"Female","West","Height",184
"51",30,"Female","West","Height",174
"52",10,"Female","West","Height",170
"53",23,"Female","West","Height",174
"54",54,"Female","West","Height",170
"55",21,"Female","West","Height",176
"56",27,"Female","West","Height",168
"57",30,"Female","East","Height",159
"58",2,"Female","West","Height",173
"59",14,"Female","East","Height",177
"60",55,"Female","West","Height",170
"61",31,"Female","East","Height",172
"62",9,"Female","West","Height",180
"63",51,"Female","West","Height",169
"64",64,"Female","West","Height",176
"65",83,"Female","East","Height",173
"66",24,"Female","West","Height",170
"67",41,"Female","West","Height",183
"68",62,"Female","West","Height",175
"69",46,"Female","West","Height",172
"70",38,"Female","West","Height",170
"71",35,"Female","West","Height",168
"72",13,"Female","West","Height",165
"73",4,"Female","West","Height",175
"74",26,"Female","West","Height",168
"75",22,"Female","West","Height",181
"76",15,"Female","West","Height",181
"77",56,"Female","East","Height",163
"78",61,"Female","West","Height",180
"79",25,"Female","West","Height",179
"80",71,"Female","West","Height",180
"81",20,"Female","West","Height",175
"82",110,"Female","West","Height",173
"83",54,"Female","West","Height",185
"84",28,"Female","West","Height",168
"85",42,"Female","West","Height",170
"86",40,"Female","West","Height",175
"87",9,"Female","West","Height",170
"88",59,"Female","West","Height",171
"89",134,"Female","West","Height",171
"90",1,"Female","West","Height",188
"91",66,"Female","West","Height",180
"92",26,"Female","West","Height",176
"93",2,"Female","West","Height",172
"94",32,"Female","East","Height",155
"95",45,"Female","West","Height",174
"96",12,"Female","West","Height",182
"97",52,"Female","West","Height",164
"98",73,"Female","West","Height",163
"99",39,"Female","West","Height",163
"100",99,"Female","West","Height",167
"101",71,"Female","West","Height",163
"102",19,"Female","West","Height",180
"103",111,"Female","West","Height",179
"104",23,"Female","West","Height",185
"105",17,"Female","West","Height",180
"106",48,"Female","West","Height",175
"107",67,"Female","West","Height",170
"108",50,"Female","West","Height",168
"109",94,"Female","West","Height",168
"110",147,"Female","West","Height",161
"111",46,"Female","West","Height",183
"112",35,"Female","West","Height",182
"113",105,"Female","East","Height",172
"114",5,"Female","West","Height",164
"115",170,"Female","West","Height",173
"116",116,"Female","West","Height",168
"117",124,"Female","West","Height",178
"118",166,"Female","East","Height",165
"119",45,"Female","West","Height",174
"120",165,"Female","West","Height",178
"121",5,"Female","West","Height",178
"122",55,"Female","West","Height",180
"123",198,"Female","West","Height",170
"124",102,"Female","West","Height",180
"125",20,"Female","West","Height",166
"126",154,"Female","West","Height",164
"127",154,"Female","West","Height",170
"128",189,"Female","West","Height",168
"129",105,"Female","West","Height",175
"130",66,"Female","East","Height",167
"131",124,"Female","West","Height",187
"132",57,"Female","West","Height",176
"133",132,"Female","West","Height",168
"134",59,"Female","West","Height",170
"135",58,"Female","West","Height",175
"136",97,"Female","West","Height",163
"137",29,"Female","West","Height",177
"138",7,"Female","West","Height",168
"139",38,"Female","West","Height",183
"140",102,"Female","West","Height",175
"141",41,"Female","West","Height",177
"142",70,"Female","East","Height",163
"143",4,"Female","West","Height",161
"144",5,"Female","West","Height",181
"145",102,"Female","West","Height",183
"146",10,"Female","West","Height",185
"147",12,"Female","West","Height",178
"148",31,"Female","West","Height",180
"149",111,"Female","West","Height",178
"150",95,"Female","West","Height",173
"151",144,"Female","East","Height",168
"152",166,"Female","East","Height",179
