"","Background","YearSex","Age_group","pop","sum","Percentage","Sex","Year"
"1","East","2010 Female","<20",56,173,-0.323699421965318,"Female",2010
"2","East","2010 Female",">=35",1,173,-0.00578034682080925,"Female",2010
"3","East","2010 Female","20~24",77,173,-0.445086705202312,"Female",2010
"4","East","2010 Female","25~29",34,173,-0.196531791907514,"Female",2010
"5","East","2010 Female","30~34",5,173,-0.0289017341040462,"Female",2010
"6","East","2020 Female","<20",49,208,-0.235576923076923,"Female",2020
"7","East","2020 Female",">=35",4,208,-0.0192307692307692,"Female",2020
"8","East","2020 Female","20~24",89,208,-0.427884615384615,"Female",2020
"9","East","2020 Female","25~29",52,208,-0.25,"Female",2020
"10","East","2020 Female","30~34",14,208,-0.0673076923076923,"Female",2020
"11","West","2010 Female","<20",357,848,0.420990566037736,"Female",2010
"12","West","2010 Female",">=35",4,848,0.00471698113207547,"Female",2010
"13","West","2010 Female","20~24",319,848,0.376179245283019,"Female",2010
"14","West","2010 Female","25~29",142,848,0.167452830188679,"Female",2010
"15","West","2010 Female","30~34",26,848,0.0306603773584906,"Female",2010
"16","West","2020 Female","<20",273,979,0.278855975485189,"Female",2020
"17","West","2020 Female",">=35",9,979,0.00919305413687436,"Female",2020
"18","West","2020 Female","20~24",392,979,0.400408580183861,"Female",2020
"19","West","2020 Female","25~29",241,979,0.246169560776302,"Female",2020
"20","West","2020 Female","30~34",64,979,0.0653728294177732,"Female",2020
